Resource,grid,Minor time,Major Time,Scenario,rate
CLAY,1,1,1,LL,25.870941919648505
CLAY,2,1,1,LL,16.517601378609648
CLAY,3,1,1,LL,41.839283302570585
CLAY,4,1,1,LL,20.995264405578002
CLAY,5,1,1,LL,16.219090511539733
CLAY,6,1,1,LL,28.85605060429407
CLAY,7,1,1,LL,37.21435491014453
CLAY,8,1,1,LL,25.870941919648505
CLAY,9,1,1,LL,33.43321725129466
CLAY,10,1,1,LL,30.448108566649086
CLAY,11,1,1,LL,41.839283302570585
CLAY,12,1,1,LL,18.627078181170674
CLAY,13,1,1,LL,28.458036113705315
CLAY,14,1,1,LL,37.21435491014453
CLAY,15,1,1,LL,25.870941919648505
CLAY,16,1,1,LL,25.870941919648505
CLAY,17,1,1,LL,25.870941919648505
CLAY,18,1,1,LL,41.839283302570585
CLAY,19,1,1,LL,27.6620071290412
CLAY,20,1,1,LL,41.839283302570585
CLAY,21,1,1,LL,25.870941919648505
CLAY,22,1,1,LL,45.97067373098998
CLAY,23,1,1,LL,17.51263760682484
CLAY,24,1,1,LL,19.502710063255215
CLAY,25,1,1,LL,25.870941919648505
CLAY,26,1,1,LL,27.263992638452446
CLAY,27,1,1,LL,19.303702816217537
CLAY,28,1,1,LL,25.870941919648505
CLAY,29,1,1,LL,23.48285497262937
CLAY,30,1,1,LL,25.870941919648505
CLAY,31,1,1,LL,29.851086832509267
CLAY,32,1,1,LL,12.338449222197815
CLAY,33,1,1,LL,39.80144909374152
CLAY,34,1,1,LL,25.870941919648505
