Resource;grid;Minor time;Major Time;Scenario;rate
BIOMASS;1;1;1;LL;9.205371057364118
BIOMASS;2;1;1;LL;3.0684570186352262
BIOMASS;3;1;1;LL;6.136914038729323
BIOMASS;4;1;1;LL;6.136914038729323
BIOMASS;5;1;1;LL;4.295839826381091
BIOMASS;7;1;1;LL;7.977988249618685
BIOMASS;8;1;1;LL;5.5845917744413045
BIOMASS;10;1;1;LL;2.945718738006527
BIOMASS;11;1;1;LL;5.891437476013054
BIOMASS;12;1;1;LL;7.180189424073269
BIOMASS;13;1;1;LL;4.295839826381091
BIOMASS;14;1;1;LL;4.909531230983458
BIOMASS;15;1;1;LL;17.183359302606622
BIOMASS;16;1;1;LL;19.67076630441257
CLAY;1;1;1;LL;22.00025099509909
CLAY;2;1;1;LL;7.333416997204161
CLAY;3;1;1;LL;14.666833997894928
CLAY;4;1;1;LL;14.666833997894928
CLAY;5;1;1;LL;10.266783796783146
CLAY;6;1;1;LL;26.400301192724264
CLAY;7;1;1;LL;19.066884195520103
CLAY;8;1;1;LL;13.34681893616675
CLAY;9;1;1;LL;31.68036143266376
CLAY;10;1;1;LL;7.040080317594923
CLAY;11;1;1;LL;14.080160635189849
CLAY;12;1;1;LL;17.160195774573452
CLAY;13;1;1;LL;10.266783796783146
CLAY;14;1;1;LL;11.73346719831594
CLAY;15;1;1;LL;41.067135180159376
CLAY;16;1;1;LL;47.01187961530275
