From grid;To grid;Distribution type;Major time;Scenario;No. of units
1;97;9INCH_CO2_ONSHORE;1;LL;1.0
2;79;9INCH_CO2_ONSHORE;1;LL;1.0
3;132;6INCH_CO2_ONSHORE;1;LL;1.0
4;71;6INCH_CO2_ONSHORE;1;LL;1.0
5;111;9INCH_CO2_ONSHORE;1;LL;1.0
6;18;9INCH_CO2_ONSHORE;1;LL;1.0
7;138;9INCH_CO2_ONSHORE;1;LL;1.0
8;106;6INCH_CO2_ONSHORE;1;LL;1.0
9;143;9INCH_CO2_ONSHORE;1;LL;1.0
10;119;6INCH_CO2_ONSHORE;1;LL;1.0
11;83;6INCH_CO2_ONSHORE;1;LL;1.0
12;21;6INCH_CO2_ONSHORE;1;LL;1.0
13;108;6INCH_CO2_ONSHORE;1;LL;1.0
14;77;6INCH_CO2_ONSHORE;1;LL;1.0
15;102;12INCH_CO2_ONSHORE;1;LL;1.0
16;128;6INCH_CO2_ONSHORE;1;LL;1.0
17;2;6INCH_CO2_ONSHORE;1;LL;1.0
18;80;12INCH_CO2_ONSHORE;1;LL;1.0
19;104;9INCH_CO2_ONSHORE;1;LL;1.0
20;152;6INCH_CO2_ONSHORE;1;LL;1.0
21;98;9INCH_CO2_ONSHORE;1;LL;1.0
22;83;9INCH_CO2_ONSHORE;1;LL;1.0
23;30;6INCH_CO2_ONSHORE;1;LL;1.0
24;22;6INCH_CO2_ONSHORE;1;LL;1.0
25;116;6INCH_CO2_ONSHORE;1;LL;1.0
26;139;9INCH_CO2_ONSHORE;1;LL;1.0
27;15;9INCH_CO2_ONSHORE;1;LL;1.0
28;103;6INCH_CO2_ONSHORE;1;LL;1.0
29;127;6INCH_CO2_ONSHORE;1;LL;1.0
30;117;9INCH_CO2_ONSHORE;1;LL;1.0
31;6;9INCH_CO2_ONSHORE;1;LL;1.0
32;47;28INCH_CO2_OFFSHORE;1;LL;1.0
33;54;24INCH_CO2_OFFSHORE;1;LL;1.0
76;32;28INCH_CO2_ONSHORE;1;LL;1.0
