process_tech;grid;Major Time;Scenario;number
LARGE_CO2_COMPRESSOR;18;1;LL;1.0
LARGE_CO2_COMPRESSOR;22;1;LL;1.0
INCUMBENT_CEMENT;1;1;LL;1.0
INCUMBENT_CEMENT;2;1;LL;1.0
INCUMBENT_CEMENT;3;1;LL;1.0
INCUMBENT_CEMENT;4;1;LL;1.0
INCUMBENT_CEMENT;5;1;LL;1.0
INCUMBENT_CEMENT;6;1;LL;1.0
INCUMBENT_CEMENT;7;1;LL;1.0
INCUMBENT_CEMENT;8;1;LL;1.0
INCUMBENT_CEMENT;9;1;LL;1.0
INCUMBENT_CEMENT;10;1;LL;1.0
INCUMBENT_CEMENT;11;1;LL;1.0
INCUMBENT_CEMENT;12;1;LL;1.0
INCUMBENT_CEMENT;13;1;LL;1.0
INCUMBENT_CEMENT;14;1;LL;1.0
INCUMBENT_CEMENT;15;1;LL;1.0
INCUMBENT_CEMENT;16;1;LL;1.0
CCS_CEMENT;1;1;LL;1.0
CCS_CEMENT;3;1;LL;1.0
CCS_CEMENT;5;1;LL;1.0
CCS_CEMENT;6;1;LL;1.0
CCS_CEMENT;7;1;LL;1.0
CCS_CEMENT;8;1;LL;1.0
CCS_CEMENT;9;1;LL;1.0
CCS_CEMENT;10;1;LL;1.0
CCS_CEMENT;11;1;LL;1.0
CCS_BIOMASS_CEMENT;13;1;LL;1.0
CCS_BIOMASS_MINERAL_CEMENT;15;1;LL;1.0
NO_ACTION;2;1;LL;1.0
NO_ACTION;4;1;LL;1.0
NO_ACTION;12;1;LL;1.0
NO_ACTION;14;1;LL;1.0
NO_ACTION;16;1;LL;1.0
