OID;Longitude;Latitude;Grid_id;GRIDTYPE;GRIDTYPECODE;TOT_CO2_STORES;LANDFALL;ONSHORE_GRIDS;IMPORT_LOCATIONS;EMISSION_FACTOR;LOCATION_FACTOR;AVAILABILITY;HARBOUR;parent_name;Lat;Lon;lat/lon correct?;parent correct?
CID1;10.481936;51.364109;1;CEMENT;11;0;0;1;1;0;1;1;0;Buzzi Unicem SpA;51.364109;10.481936;correct;1.0
CID2;8.503183;51.62267;2;CEMENT;11;0;0;1;1;0;1;1;0;Buzzi Unicem SpA;51.62267;8.503183;correct;1.0
CID3;8.036802;49.602402;3;CEMENT;11;0;0;1;1;0;1;1;0;Buzzi Unicem SpA;49.602402;8.036802;correct;1.0
CID4;7.887637;52.17459;4;CEMENT;11;0;0;1;1;0;1;1;0;Buzzi Unicem SpA;52.17459;7.887637;correct;1.0
CID5;8.258075;50.032201;5;CEMENT;11;0;0;1;1;0;1;1;0;Buzzi Unicem SpA;50.032201;8.258075;correct;1.0
CID9;8.335833;51.599521;6;CEMENT;11;0;0;1;1;0;1;1;0;thomas Beteiligungen GmbH;51.599521;8.335833;correct;0.0
CID10;11.660638;51.270124;7;CEMENT;11;0;0;1;1;0;1;1;0;CRH PLC;51.270124;11.660638;correct;0.0
CID11;8.614774;49.016926;8;CEMENT;11;0;0;1;1;0;1;1;0;CRH PLC;49.016926;8.614774;correct;0.0
CID13;13.836808;52.489222;9;CEMENT;11;0;0;1;1;0;1;1;0;CEMEX SAB de CV;52.489222;13.836808;correct;0.0
CID16;12.029824;49.213555;10;CEMENT;11;0;0;1;1;0;1;1;0;HeidelbergCement AG;49.213555;12.029824;correct;0.0
CID17;8.03084;51.857225;11;CEMENT;11;0;0;1;1;0;1;1;0;HeidelbergCement AG;51.857225;8.03084;correct;0.0
CID18;9.876779;52.374756;12;CEMENT;11;0;0;1;1;0;1;1;0;HeidelbergCement AG;52.374756;9.876779;correct;0.0
CID19;8.685598;49.357624;13;CEMENT;11;0;0;1;1;0;1;1;0;HeidelbergCement AG;49.357624;8.685598;correct;0.0
CID20;8.746013;51.698479;14;CEMENT;11;0;0;1;1;0;1;1;0;HeidelbergCement AG;51.698479;8.746013;correct;0.0
CID21;9.735574;48.368982;15;CEMENT;11;0;0;1;1;0;1;1;0;HeidelbergCement AG;48.368982;9.735574;correct;0.0
CID22;9.618221;49.808084;16;CEMENT;11;0;0;1;1;0;1;1;0;HeidelbergCement AG;49.808084;9.618221;correct;0.0
CID23;8.5105;51.618256;17;CEMENT;11;0;0;1;1;0;1;1;0;HeidelbergCement AG;51.618256;8.5105;correct;0.0
CID26;8.336089;51.595161;18;CEMENT;11;0;0;1;1;0;1;1;0;Hugo Miebach GmbH;51.595161;8.336089;correct;0.0
CID27;8.7786;48.227348;19;CEMENT;11;0;0;1;1;0;1;1;0;LafargeHolcim Ltd;48.227348;8.7786;correct;0.0
CID28;9.584787;53.875099;20;CEMENT;11;0;0;1;1;0;1;1;0;LafargeHolcim Ltd;53.875099;9.584787;correct;0.0
CID29;9.888384;52.353363;21;CEMENT;11;0;0;1;1;0;1;1;0;LafargeHolcim Ltd;52.353363;9.888384;correct;0.0
CID30;8.055751;51.765425;22;CEMENT;11;0;0;1;1;0;1;1;0;LafargeHolcim Ltd;51.765425;8.055751;correct;0.0
CID35;10.698973;48.774206;23;CEMENT;11;0;0;1;1;0;1;1;0;Maerker Zement GmbH;48.774206;10.698973;correct;0.0
CID37;8.073849;51.759234;24;CEMENT;11;0;0;1;1;0;1;1;0;Phoenix Zementwerke Krogbeumker GmbH & Co KG;51.759234;8.073849;correct;0.0
CID39;12.181552;47.791873;25;CEMENT;11;0;0;1;1;0;1;1;0;Rohrdorfer Zementwerke;47.791873;12.181552;correct;0.0
CID40;11.753223;51.813271;26;CEMENT;11;0;0;1;1;0;1;1;0;SCHWENK Zement KG;51.813271;11.753223;correct;0.0
CID41;9.732415;48.333264;27;CEMENT;11;0;0;1;1;0;1;1;0;SCHWENK Zement KG;48.333264;9.732415;correct;0.0
CID42;10.162965;48.652954;28;CEMENT;11;0;0;1;1;0;1;1;0;SCHWENK Zement KG;48.652954;10.162965;correct;0.0
CID43;9.768927;49.954669;29;CEMENT;11;0;0;1;1;0;1;1;0;SCHWENK Zement KG;49.954669;9.768927;correct;0.0
CID45;10.998115;48.884764;30;CEMENT;11;0;0;1;1;0;1;1;0;Solnhofer Portland-Zementwerke GmbH & Co KG;48.884764;10.998115;correct;0.0
CID46;8.336864;51.602063;31;CEMENT;11;0;0;1;1;0;1;1;0;Spenner & GmbH Co KG;51.602063;8.336864;correct;0.0
TID4;8.155554;53.556378;32;TERMINAL;30;0;1;1;1;0;1;1;0;;;;;
TID8;4.16044289;51.98936213;33;TERMINAL;30;0;1;1;1;0;1;1;0;;;;;
SID97;6.674735937;55.07066178;34;STORAGE;20;500;0;0;1;0;1;1;0;;;;;
SID98;7.213348192;55.04193579;35;STORAGE;20;500;0;0;1;0;1;1;0;;;;;
SID99;7.47906357;54.91985035;36;STORAGE;20;500;0;0;1;0;1;1;0;;;;;
SID100;7.292344656;54.7905834;37;STORAGE;20;500;0;0;1;0;1;1;0;;;;;
SID101;6.782458388;54.61104599;38;STORAGE;20;500;0;0;1;0;1;1;0;;;;;
SID102;6.940451316;54.51768653;39;STORAGE;20;500;0;0;1;0;1;1;0;;;;;
SID103;6.523924506;54.30224163;40;STORAGE;20;500;0;0;1;0;1;1;0;;;;;
SID104;6.782458388;54.29506013;41;STORAGE;20;500;0;0;1;0;1;1;0;;;;;
SID105;7.170259211;54.19451918;42;STORAGE;20;500;0;0;1;0;1;1;0;;;;;
SID106;7.421611597;54.12270421;43;STORAGE;20;500;0;0;1;0;1;1;0;;;;;
SID107;7.881227387;53.99343727;44;STORAGE;20;500;0;0;1;0;1;1;0;;;;;
SID108;7.471882074;53.78517386;45;STORAGE;20;500;0;0;1;0;1;1;0;;;;;
SID109;7.759141943;53.7061774;46;STORAGE;20;500;0;0;1;0;1;1;0;;;;;
SID110;8.355206171;53.59845495;47;STORAGE;20;500;0;0;1;0;1;1;0;;;;;
SID111;8.484473112;53.74208488;48;STORAGE;20;500;0;0;1;0;1;1;0;;;;;
SID112;8.750188491;54.00780026;49;STORAGE;20;500;0;0;1;0;1;1;0;;;;;
SID113;8.391113655;54.28069714;50;STORAGE;20;500;0;0;1;0;1;1;0;;;;;
SID114;8.269028211;54.42432707;51;STORAGE;20;500;0;0;1;0;1;1;0;;;;;
SID115;8.455747126;54.7977649;52;STORAGE;20;500;0;0;1;0;1;1;0;;;;;
SID116;4.126057327;52.99269476;53;STORAGE;20;168;0;0;1;0;1;1;0;;;;;
SID117;3.825024691;52.56102532;54;STORAGE;20;360;0;0;1;0;1;1;0;;;;;
SID118;4.455489268;54.37006107;55;STORAGE;20;650;0;0;1;0;1;1;0;;;;;
SID119;3.870463579;53.44140379;56;STORAGE;20;60;0;0;1;0;1;1;0;;;;;
SID120;4.202735451;55.1169628;57;STORAGE;20;190;0;0;1;0;1;1;0;;;;;
SID121;3.975541009;53.24260865;58;STORAGE;20;165;0;0;1;0;1;1;0;;;;;
SID122;3.271238238;53.75379614;59;STORAGE;20;140;0;0;1;0;1;1;0;;;;;
SID123;3.350756293;53.50956212;60;STORAGE;20;195;0;0;1;0;1;1;0;;;;;
SID124;4.180016007;53.46412323;61;STORAGE;20;175;0;0;1;0;1;1;0;;;;;
