Resource;grid;Minor time;Major Time;Scenario;rate
OLIVINE;2;1;1;LL;18.31312269340695
OLIVINE;3;1;1;LL;46.387360426098525
OLIVINE;7;1;1;LL;41.259686064831854
OLIVINE;9;1;1;LL;37.067525455068576
OLIVINE;13;1;1;LL;31.551524644406875
OLIVINE;14;1;1;LL;41.259686064831854
OLIVINE;15;1;1;LL;28.683204220079556
OLIVINE;16;1;1;LL;28.683204220079556
OLIVINE;17;1;1;LL;28.683204220079556
OLIVINE;18;1;1;LL;46.387360426098525
OLIVINE;19;1;1;LL;30.668964511763136
OLIVINE;20;1;1;LL;46.387360426098525
OLIVINE;22;1;1;LL;50.967847512316126
OLIVINE;26;1;1;LL;30.22768444737407
OLIVINE;28;1;1;LL;28.683204220079556
OLIVINE;29;1;1;LL;26.03552382987957
OLIVINE;31;1;1;LL;33.0960048717014
OLIVINE;33;1;1;LL;44.12800647756234
OLIVINE;34;1;1;LL;28.683204220079556
BIOMASS;2;1;1;LL;8.576208239613905
BIOMASS;13;1;1;LL;14.77587684841764
