From grid;To grid;Distribution type;Major time;Scenario;No. of units
1;30;28INCH_CO2_ONSHORE;1;LL;1.0
2;16;9INCH_CO2_ONSHORE;1;LL;1.0
3;14;16INCH_CO2_ONSHORE;1;LL;1.0
4;12;9INCH_CO2_ONSHORE;1;LL;1.0
6;14;12INCH_CO2_ONSHORE;1;LL;1.0
7;38;12INCH_CO2_ONSHORE;1;LL;1.0
12;1;28INCH_CO2_ONSHORE;1;LL;1.0
13;15;9INCH_CO2_ONSHORE;1;LL;1.0
14;27;24INCH_CO2_ONSHORE;1;LL;1.0
15;14;12INCH_CO2_ONSHORE;1;LL;1.0
16;3;16INCH_CO2_ONSHORE;1;LL;1.0
17;20;9INCH_CO2_ONSHORE;1;LL;1.0
18;16;12INCH_CO2_ONSHORE;1;LL;1.0
20;38;12INCH_CO2_ONSHORE;1;LL;1.0
21;12;9INCH_CO2_ONSHORE;1;LL;1.0
24;7;9INCH_CO2_ONSHORE;1;LL;1.0
25;38;9INCH_CO2_ONSHORE;1;LL;1.0
26;36;24INCH_CO2_ONSHORE;1;LL;1.0
27;26;24INCH_CO2_ONSHORE;1;LL;1.0
29;32;12INCH_CO2_ONSHORE;1;LL;1.0
30;39;28INCH_CO2_ONSHORE;1;LL;1.0
31;35;16INCH_CO2_ONSHORE;1;LL;1.0
32;31;16INCH_CO2_ONSHORE;1;LL;1.0
33;32;12INCH_CO2_ONSHORE;1;LL;1.0
34;29;9INCH_CO2_ONSHORE;1;LL;1.0
35;47;28INCH_CO2_OFFSHORE;1;LL;1.0
36;43;24INCH_CO2_OFFSHORE;1;LL;1.0
38;71;16INCH_CO2_OFFSHORE;1;LL;1.0
39;68;32INCH_CO2_OFFSHORE;1;LL;1.0
