Resource;grid;Minor time;Major Time;Scenario;rate
OLIVINE;2;1;1;LL;18.313122693406957
OLIVINE;3;1;1;LL;46.38736042609855
OLIVINE;7;1;1;LL;41.25968606483186
OLIVINE;9;1;1;LL;37.06752545506858
OLIVINE;13;1;1;LL;31.55152464440688
OLIVINE;14;1;1;LL;41.25968606483187
OLIVINE;15;1;1;LL;28.68320422007956
OLIVINE;16;1;1;LL;28.68320422007956
OLIVINE;17;1;1;LL;28.68320422007956
OLIVINE;18;1;1;LL;46.38736042609854
OLIVINE;20;1;1;LL;46.38736042609854
OLIVINE;26;1;1;LL;30.227684447374077
OLIVINE;29;1;1;LL;26.035523829879573
OLIVINE;31;1;1;LL;33.09600487170141
OLIVINE;33;1;1;LL;44.12800647756234
OLIVINE;34;1;1;LL;28.68320422007956
BIOMASS;2;1;1;LL;8.576208239613905
BIOMASS;13;1;1;LL;14.77587684841764
